year,latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,magNst,depth_class
2022,-8.2068,120.6211,20.0,5.7,39,1.655,0.67,6.4,1.9,0.063,24,0
2020,-10.3733,124.0857,10.0,5.7,34,0.447,1.42,5.7,1.7,0.063,24,0
2024,-9.4207,122.1832,62.174,5.7,52,2.082,0.98,8.03,4.007,0.103,9,0
2020,-7.2022,120.4556,584.48,5.7,34,2.268,1.01,9.4,5.7,0.049,40,2
2020,-7.0719,129.2407,182.0,5.7,14,2.232,1.08,2.6,1.8,0.049,40,1
2023,-7.0269,117.2121,481.974,5.7,23,1.874,0.72,9.21,5.134,0.043,192,2
2020,-7.0058,116.9276,639.88,5.7,24,3.111,1.02,7.7,2.8,0.056,31,2
2021,-7.6086,122.2473,10.0,5.7,68,1.02,1.22,5.2,1.9,0.117,26,0
2020,-6.0613,129.9115,10.0,5.7,15,2.353,0.92,5.6,1.5,0.061,26,0
2021,-5.9581,128.2804,337.0,5.7,16,3.608,0.71,7.3,1.9,0.058,29,2
2024,2.8091,95.6066,21.0,5.7,56,2.471,0.69,7.95,1.884,0.073,18,0
2023,2.8391,126.9856,35.0,5.7,29,2.088,0.91,6.91,1.768,0.061,26,0
2021,5.688,127.1064,35.23,5.7,34,2.046,1.08,6.2,3.9,0.089,12,0
2022,1.7974,126.3859,30.0,5.7,32,1.414,1.02,6.05,1.765,0.062,25,0
2020,4.1773,126.6447,17.0,5.7,32,3.062,1.17,6.8,1.7,0.089,12,0
2020,-5.837,103.0187,26.18,5.7,48,1.468,0.78,7.6,3.9,0.062,25,0
2023,-5.7066,130.1561,10.0,5.7,49,1.203,0.49,7.61,1.856,0.073,18,0
2023,-4.775,133.8946,10.0,5.7,43,2.469,0.39,6.62,1.839,0.051,37,0
2022,-1.2041,98.618,10.0,5.7,20,2.701,0.67,7.25,1.758,0.043,189,0
2022,-1.0173,98.6652,43.0,5.7,26,2.55,0.59,7.34,1.88,0.08,15,0
2023,-0.9402,98.4892,20.0,5.7,53,2.409,0.75,6.9,1.757,0.06,27,0
2021,-0.8389,121.5296,8.0,5.7,29,1.258,0.83,3.7,1.7,0.083,14,0
2021,-2.9809,118.894,18.0,5.7,33,2.193,0.83,5.8,1.7,0.053,34,0
2020,-2.9507,139.1131,38.0,5.7,13,6.855,0.8,7.2,1.8,0.071,19,0
2021,-2.9473,129.3394,18.0,5.7,21,2.823,0.78,5.8,1.7,0.083,14,0
2024,-0.1457,125.2455,39.0,5.7,28,2.309,0.97,6.95,1.838,0.065,23,0
2021,-1.9554,99.7862,30.0,5.7,18,3.92,0.83,7.3,1.8,0.062,25,0
2020,-4.2241,126.3437,10.0,5.7,27,4.766,0.84,6.2,1.8,0.068,21,0
2021,0.8073,126.2042,36.86,5.7,58,1.163,0.82,5.9,6.2,0.071,19,0
2022,0.9313,126.2631,38.1,5.7,64,1.114,0.67,6.0,1.7,0.057,30,0
2020,1.1073,126.6767,41.39,5.7,24,0.766,0.78,5.8,4.4,0.066,22,0
2021,-3.5358,140.0996,30.0,5.6,29,7.407,0.46,7.7,1.9,0.093,11,0
2020,-3.3684,100.2706,20.0,5.6,31,2.854,0.64,6.1,1.8,0.058,29,0
2020,-3.3456,131.4839,10.0,5.6,14,0.873,1.01,4.6,1.6,0.051,37,0
2020,-2.8766,129.9354,10.0,5.6,61,2.311,0.69,6.1,1.2,0.062,25,0
2024,-5.8155,112.3187,10.0,5.6,27,2.233,1.12,6.94,1.745,0.069,20,0
2020,-5.7527,124.976,10.0,5.6,23,3.947,0.97,5.9,1.7,0.054,33,0
2023,-1.5393,126.4716,10.0,5.6,41,2.464,0.62,6.17,1.69,0.078,16,0
2024,-1.177,127.3252,10.0,5.6,48,1.936,0.31,6.78,1.835,0.066,22,0
2022,-0.6087,98.5291,29.19,5.6,35,2.125,0.64,4.0,3.0,0.093,11,0
2023,-0.2079,124.954,40.0,5.6,41,2.334,0.8,6.82,1.939,0.063,24,0
2021,0.0519,124.2976,60.14,5.6,19,1.873,1.39,6.1,3.8,0.073,18,0
2021,0.1413,123.6629,119.63,5.6,16,1.474,0.92,6.3,2.9,0.044,49,1
2022,0.1487,123.6638,131.78,5.6,22,1.481,0.77,6.3,3.9,0.038,65,1
2020,0.1747,133.5831,10.0,5.6,62,3.35,0.96,8.7,1.8,0.073,18,0
2021,0.1975,96.6432,8.99,5.6,44,1.441,0.55,5.3,2.6,0.065,23,0
2021,-1.7567,99.2329,25.0,5.6,135,2.746,0.71,6.6,1.9,0.098,10,0
2023,-6.1476,130.1327,10.0,5.6,43,1.63,0.45,6.11,1.824,0.048,41,0
2023,-9.0432,123.9238,87.512,5.6,60,0.785,0.55,5.66,3.214,0.053,34,1
2023,-8.8517,110.7921,18.0,5.6,27,3.344,1.01,8.06,1.68,0.089,12,0
2024,-7.3405,105.9282,34.0,5.6,54,1.712,0.72,7.95,1.798,0.056,31,0
2022,-7.3221,120.4333,499.8,5.6,40,2.212,0.95,7.7,3.5,0.059,28,2
2021,-7.2529,120.4325,613.25,5.6,21,2.254,1.07,8.0,3.3,0.052,35,2
2022,-6.836,106.9968,10.0,5.6,40,0.899,0.37,5.06,1.803,0.063,24,0
